(
    (2362.4160620173043 -1726.8119103469317 0)
    (2337.2056919656397 -1691.1038889068348 0)
    (2310.4589557971076 -1656.531679581436 0)
    (2282.226956509299 -1623.1613369173074 0)
    (2252.5636348814733 -1591.0566191438643 0)
    (2221.52566641393 -1560.2788663552674 0)
    (2189.1723530423446 -1530.886883312467 0)
    (2156.0076804127007 -1502.409868713599 0)
    (2123.9125695658036 -1472.7361528520219 0)
    (2093.1448687568745 -1441.6882199056815 0)
    (2063.7633635412953 -1409.3253908486424 0)
    (2035.8241909737262 -1375.7094989290779 0)
    (2009.3807323512128 -1340.9047715290874 0)
    (1984.4835112215171 -1304.977707450217 0)
    (1961.1800968515358 -1267.9969498591508 0)
    (1939.5150133402437 -1230.0331551363236 0)
    (1919.5296545498118 -1191.158857878033 0)
    (1901.2622050174373 -1151.4483323099878 0)
    (1884.7475669989904 -1110.9774503770732 0)
    (1870.017293783873 -1069.8235367804753 0)
    (1857.099529408497 -1028.0652212391312 0)
    (1846.0189548835692 -985.7822882577759 0)
    (1836.7967410379229 -943.0555246886333 0)
    (1829.4505080689892 -899.9665653779889 0)
    (1823.9942918771997 -856.5977371925666 0)
    (1820.438517248634 -813.0319017237146 0)
    (1818.7899779371598 -769.3522969699311 0)
    (1819.0518236841112 -725.6423783002168 0)
    (1821.223554200313 -681.9856590021149 0)
    (1825.3010201219456 -638.4655507190911 0)
    (1831.276430938427 -595.165204082112 0)
    (1839.1383698771594 -552.1673498399306 0)
    (1848.8718157167082 -509.55414079159914 0)
    (1860.4581714867302 -467.4069948232336 0)
    (1873.8752999998214 -425.8064393489203 0)
    (1889.0975661473938 -384.8319574529801 0)
    (1906.0958858787649 -344.56183602755755 0)
    (1924.8377817698938 -305.0730161956817 0)
    (1945.2874450755733 -266.4409463055945 0)
    (1967.4058041465346 -228.739437777205 0)
    (1991.15059908074 -192.04052407610493 0)
    (2016.4764624662296 -156.41432308459116 0)
    (2043.3350060612597 -121.92890313264525 0)
    (2071.674913246113 -88.65015294484328 0)
    (2101.4420370699445 -56.64165575167681 0)
    (2132.5795037053267 -25.964567805806382 0)
    (2165.0278211128416 3.322498464638784 0)
    (2198.7249927080875 31.16358644245929 0)
    (2233.6066358139415 57.505502233534116 0)
    (2269.606104671744 82.29791630042905 0)
    (2306.6546177763885 105.49345962329971 0)
    (2344.6813892920272 127.0478142043512 0)
    (2383.6137642972903 146.91979774293486 0)
    (2423.3773576016442 165.07144231950792 0)
    (2463.896195867628 181.4680669381073 0)
    (2505.092862767462 196.0783437887485 0)
    (2546.888646896655 208.87435810314037 0)
    (2589.2036921620297 219.83166148935288 0)
    (2631.9571503568127 228.92931864354114 0)
    (2675.067335631285 236.1499473494714 0)
    (2718.4518805638536 241.4797516894264 0)
    (2762.027893534351 244.90854840304087 0)
    (2805.7121170988844 246.42978634369638 0)
    (2849.421087063635 246.0405589953109 0)
    (2893.07129195368 243.74161002560209 0)
    (2936.5793325721497 239.53733186521754 0)
    (2979.862081344862 233.43575731544342 0)
    (3022.836841145996 225.44854420053048 0)
    (3065.421503301329 215.5909530939548 0)
    (3107.534704467166 203.88181816117935 0)
    (3149.0959820852304 190.34351117461392 0)
    (3190.025928116474 175.00189876953527 0)
    (3230.246340760116 157.8862930226337 0)
    (3269.680373867995 139.02939544760943 0)
    (3308.2526837687847 118.46723451482512 0)
    (3345.889573221538 96.23909681439136 0)
